/api # node monitor.cjs 
2025-09-27T16:50:41.432Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:50:51.440Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:01.443Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:11.453Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:21.461Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:31.471Z | RSS: 40.54 MB | HeapUsed: 3.76 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:41.478Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:51:51.488Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:01.498Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:11.508Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:21.552Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:31.560Z | RSS: 40.54 MB | HeapUsed: 3.77 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:41.568Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:52:51.576Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:01.584Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:11.652Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:21.660Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:31.668Z | RSS: 40.54 MB | HeapUsed: 3.78 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:41.676Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:53:51.686Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:01.696Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:11.706Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:21.716Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:31.726Z | RSS: 40.54 MB | HeapUsed: 3.79 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:41.734Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:54:51.741Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:01.752Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:11.753Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:21.760Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:31.768Z | RSS: 40.54 MB | HeapUsed: 3.80 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:41.778Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:55:51.788Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:56:01.796Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:56:11.804Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
